first_seen_date,last_seen_date,latest_source,company,role,link,location,remote_policy,employment_type,experience_band,compensation_hint,latest_fit_score,seen_count,pipeline_status,last_check_result,why_fit,notes
2026-06-22,2026-06-22,company_page,Qualcomm,2026 Campus Hire_Engineer_SW,https://careers.qualcomm.com/careers/apply?pid=446706882270,"Hyderabad / Bangalore / Chennai / Noida, India",,Full-time,New grad,,8,1,draft_started,tracked,Strong match for entry-level software engineering in India; good fit with systems/backend background and internship profile,Application uses Qualcomm/Eightfold multi-section form; address fields can appear only after country selection
2026-06-23,2026-06-23,board_search,Cisco,Software Engineer,https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Bangalore-India/Software-Engineer_2013498,"Bangalore, India",Hybrid,Full-time,0-1 years,,9,1,new,tracked,Strong embedded/platform software role and explicitly open to up to 1 year of experience including internships,Backend-adjacent systems role; stronger fit if you want low-level/platform work
2026-06-23,2026-07-11,official_recheck,Hevo Data,SDE-I,https://jobs.lever.co/hevodata/c0c6ce59-880b-46fb-b45f-61e1aec2ad77,"Bangalore, India",On-site,Full-time,0-1 years,,9,4,new,stale_or_unavailable,"Very strong backend/API fit because the official Lever listing still targets 0-1 years, counts internships, and leans into data-platform engineering.","Rechecked on 2026-07-12; the exact Lever SDE-I posting no longer resolves and the current Hevo Lever board no longer lists this role, so treat it as stale/closed unless reposted."
2026-06-23,2026-07-15,official_recheck,Stable Money,Software Engineer I (Backend),https://jobs.lever.co/stable-money1/bfcb73b0-353c-4b78-b489-02db4ccaa637,"Bengaluru, India",On-site,Full-time,1-2 years,,7,7,new,live,"Backend-heavy Bengaluru stretch with Spring Boot, microservices, and a clearly stated 1-2 year bar that is still realistic enough for a strong fresher stretch.",Reverified live on 2026-07-15 via the official Lever page; exact posting remains open as a Bengaluru backend stretch.
2026-06-23,2026-06-23,board_search,Visa,New Grad - Software Engineer (Evergreen PPO),https://jobs.smartrecruiters.com/oneclick-ui/company/Visa/publication/52f4fc97-d38d-4c3e-bb5f-da70fe699bab?dcr_ci=Visa,"Bengaluru, Karnataka, India",,Full-time,New grad,,8,1,new,tracked,Direct new-grad opening in Bengaluru on an official Visa application page,High-signal brand and clear early-career framing
2026-06-23,2026-06-23,board_search,Studio Graphene,Associate Software Engineer - Full Stack,https://jobs.jobvite.com/studiographene-careers/job/ox59Afw5,"Gurgaon, India",,Full-time,Graduate / early career,,8,1,new,tracked,Associate title and description are friendly to sharp graduates who want to grow across stack areas,Good backup beyond Bengaluru; more full-stack than backend
2026-06-23,2026-06-23,board_search,Maersk,Associate Software Engineer,https://maersk.wd3.myworkdayjobs.com/en-US/Maersk_Manual/job/Associate-Software-Engineer_R183431,"Bengaluru, India",,Full-time,Associate / early career,,7,1,new,tracked,Associate software role in Bengaluru at a large engineering org,"Worth a look, though the public snippet is less detailed than Cisco or Hevo"
2026-06-24,2026-07-13,official_recheck,Keystone,Software Development Engineer I,https://jobs.ashbyhq.com/keystone/8a93bfb4-ba8f-47c6-a3b8-5ea93dd2f39d/application,"Bengaluru, India",,Full-time,1-3 years; internships and academic projects explicitly count,,9,6,new,live,Still one of the strongest startup fits because the official Ashby result continues to position this as an SDE I role where internships and academic projects count.,Reverified live on 2026-07-13; still one of the best fresher-friendly SDE I openings in the active batch.
2026-06-24,2026-06-24,board_search,Endava,Software Engineer,https://jobs.smartrecruiters.com/Endava/744000124389799-software-engineer,"Bengaluru, Karnataka, India",Hybrid,Full-time,Entry-level / junior-leaning from public description,,7,1,new,tracked,General software engineer opening in Bengaluru with a hybrid setup and a public description that reads closer to junior than senior scope,Public listing says 3 days work from office and 2 days work from home
2026-06-24,2026-07-15,official_recheck,Emergence Software,SDE I,https://jobs.ashbyhq.com/emergence/c72a7952-5d8a-4b2e-b0b2-0e349152fefd,"Remote, India",Remote,Full-time,SDE I; backend-heavy but ownership expectations read above classic new-grad scope,,7,3,new,live,"Remote India SDE I option with strong backend and distributed-systems overlap, though the JD still reads as a sharper ownership stretch than classic new-grad roles.","Reverified live on 2026-07-15 via the official Ashby page; still remote India and backend-heavy, but the JD explicitly expects end-to-end ownership, production debugging, SQL optimization, and microservice design."
2026-06-24,2026-06-24,board_search,Allegion,Software Engineer,https://allegion.wd5.myworkdayjobs.com/careers/job/Bangalore-India/Software-Engineer_JR35510,"Bengaluru, India",On-site,Full-time,0-1 years / entry-level from public mirrors,,7,1,new,tracked,Entry-level software role in Bengaluru and closer to your experience band than many generic SWE listings,Good backup if you want another fresher-friendly Bengaluru engineering option
2026-06-24,2026-06-24,board_search,CSG,Software Development Engineer Grad,https://csgi.wd5.myworkdayjobs.com/en-US/CSGCareers/job/Software-Development-Engineer-Grad_29170-1,"Bengaluru, India",,Full-time,Entry-level; mainframe training requirement likely applies,,5,1,new,tracked,"True grad role in Bengaluru, but only worth pursuing if the mainframe angle is acceptable and training requirement is met","Useful as a volume option, but less aligned than backend/API roles"
2026-06-24,2026-06-24,board_search,Eurofins,Software Engineer,https://jobs.smartrecruiters.com/Eurofins/744000067879435-software-engineer,"Bengaluru, Karnataka, India",,Full-time,Experience not explicit on public page,,6,1,new,tracked,General software engineer opening in Bengaluru with a direct application page,"Reasonable backup role, though less explicitly fresher-targeted than Hevo or Cisco"
2026-06-24,2026-06-24,board_search,NVIDIA,Formal Verification Engineer - New College Graduate,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Formal-Verification-Engineer---New-College-Graduate_JR2017808,"Bengaluru / Gurugram, India",,Full-time,New college graduate,,6,1,new,tracked,"Official new-college-graduate opening at a top engineering company, but the role is hardware verification rather than your core backend target","Great brand and fresh-grad framing, but not a backend role"
